	JASPAR2018_vertebrates	IMAGE	HOMER	ENCODE	RSAT_vertebrates	HOCOMOCOv11_HUMAN	factorbook	SwissRegulon	gimme.vertebrate.v5.0
NME2	0.301	0.2962	0.3042	0.301	0.3084	0.0154	0.3334	0.3144	0.3334
TFAP2A	0.5968	0.6576	0.5870000000000001	0.6306	0.6216	0.5616	0.6158	0.6306	0.6682
TAF3	0.4644	0.6132	0.4006	0.721	0.7146	0.6132	0.6779999999999999	0.6784	0.6940000000000001
TP53	0.1184	0.1204	0.1216	0.1184	0.116	0.116	0.0324	0.0998	0.1202
KLF5	0.368	0.4086	0.4368	0.4458	0.4468	0.4532	0.402	0.413	0.4292
STAT3	0.4126	0.5426	0.3464	0.7176	0.7146	0.5528	0.685	0.6212	0.711
TEAD1	0.4084	0.4084	0.4922	0.4084	0.4288	0.44	0.4452	0.4084	0.4386
FOXA1	0.1804	0.1248	0.2222	0.1804	0.1184	0.1912	0.1864	0.1228	0.1336
NKX2-2	0.0828	0.0894	0.091	0.085	0.0872	0.0836	0.078	0.0888	0.0768
ASCL1	0.7552	0.7088	0.7909999999999999	0.7428	0.7842	0.7252	0.7208	0.7218	0.7578
SMARCB1	0.1824	0.2396	0.114	0.2672	0.2674	0.2396	0.2168	0.2396	0.2618
FOXA2	0.4632	0.3726	0.506	0.4632	0.3492	0.468	0.4662	0.4054	0.4332
PAX5	0.4994	0.5734	0.4928	0.5638	0.5456	0.1298	0.5754	0.4994	0.5636
POU2F1	0.0273	0.0309	0.03	0.0496	0.04	0.0212	0.0375	0.03	0.0496
TBL1X	0.3172	0.3264	0.3242	0.542	0.542	0.3252	0.4518	0.382	0.542
HCFC1	0.609	0.7056	0.6515	0.9156	0.8939	0.7231	0.7533	0.8674	0.8959999999999999
REST	0.3012	0.3956	0.2532	0.47	0.481	0.3746	0.4178	0.4398	0.4778
BATF	0.379	0.3824	0.3836	0.3744	0.4262	0.3748	0.3972	0.4578	0.4358
GATA4	0.2996	0.3106	0.3526	0.3332	0.2728	0.3048	0.2684	0.3488	0.3326
RXR	0.2306	0.3312	0.2136	0.4218	0.4268	0.266	0.415	0.34700000000000003	0.4216
TFAP4	0.3252	0.4156	0.4422	0.3456	0.3866	0.443	0.2598	0.2794	0.416
SP2	0.4834	0.5782	0.6056	0.7194	0.7344	0.5906	0.6222	0.701	0.7388
SMC3	0.157	0.1712	0.1656	0.157	0.1542	0.1684	0.1462	0.1656	0.157
TBX21	0.3222	0.3174	0.306	0.3796	0.3932	0.2958	0.3396	0.3434	0.362
CEBPA	0.58	0.6062	0.4572	0.58	0.5936	0.5964	0.6008	0.58	0.5766
CDK7	0.1372	0.161	0.153	0.2252	0.2258	0.1466	0.1556	0.1842	0.2094
CIITA	0.3976	0.605	0.547	0.5619	0.5722	0.6102	0.5883	0.5619	0.6289
HSF1	0.1124	0.1632	0.076	0.302	0.321	0.1592	0.3552	0.213	0.3246
NR2F2	0.1048	0.0936	0.091	0.155	0.0666	0.0868	0.09	0.08900000000000001	0.1066
NFKBIA	0.1572	0.2054	0.0487	0.4264	0.4264	0.1309	0.3128	0.2037	0.4264
KDM5B	0.2152	0.2976	0.2286	0.3748	0.3748	0.2644	0.3934	0.2648	0.3748
TCF7L2	0.1436	0.1356	0.1404	0.1368	0.1156	0.1472	0.1442	0.1278	0.1312
TEAD4	0.161	0.1594	0.2168	0.1594	0.1868	0.1608	0.158	0.1594	0.1518
GLYR1	0.0136	0.0154	0.0118	0.015	0.0128	0.018000000000000002	0.0148	0.015	0.0138
FOXP1	0.0606	0.0722	0.0612	0.061	0.0704	0.0686	0.0604	0.0668	0.0616
NFKB2	0.578	0.5946	0.574	0.5912	0.5884	0.6272	0.6184	0.5932	0.6232
MAX	0.1154	0.111	0.1118	0.1066	0.0906	0.094	0.09	0.0834	0.0696
SFMBT1	0.3952	0.5244	0.343	0.7040000000000001	0.7040000000000001	0.5242	0.618	0.649	0.6626
STAT5A	0.1	0.101	0.1278	0.1038	0.07400000000000001	0.1454	0.1356	0.084	0.1298
MBD3	0.0188	0.02	0.0102	0.0378	0.0558	0.0526	0.0262	0.0258	0.0358
OCA2	0.0462	0.0256	0.029	0.0456	0.0456	0.0452	0.035	0.0216	0.0462
SNAI2	0.779	0.7492	0.7464	0.779	0.7624	0.7618	0.7020000000000001	0.779	0.7824
ARID2	0.2396	0.2816	0.1426	0.3566	0.3648	0.2628	0.3122	0.2938	0.342
PHF8	0.3302	0.5052	0.221	0.6762	0.6968	0.5052	0.526	0.634	0.6626
BAHD1	0.0062	0.0594	0.0072	0.0216	0.0344	0.0026	0.0828	0.0072	0.0828
RBPJ	0.0536	0.0546	0.0462	0.0536	0.0486	0.049	0.049	0.06	0.054000000000000006
NFYB	0.5408	0.5392	0.54	0.561	0.5412	0.5612	0.5766	0.5872	0.5458
FOS	0.274	0.2722	0.2708	0.2714	0.2292	0.271	0.2652	0.2538	0.2722
RYBP	0.2771	0.4115	0.179	0.5006	0.5006	0.4115	0.3815	0.4656	0.5261
FOXO1	0.0738	0.044	0.064	0.0484	0.046	0.0522	0.0592	0.0398	0.0376
LMO2	0.067	0.0648	0.0708	0.0786	0.0786	0.0566	0.0584	0.069	0.0786
RUNX	0.4707	0.4105	0.4555	0.4843	0.4563	0.4716	0.3936	0.4504	0.4326
BHLHE22	0.733	0.7878	0.7872	0.8016	0.7552	0.7652	0.8052	0.8016	0.6906
SATB1	0.0101	0.021	0.0088	0.0101	0.0135	0.0101	0.0338	0.0183	0.0338
NFKB1	0.5448	0.5422	0.5058	0.6022	0.5254	0.5452	0.532	0.5586	0.5602
BCL6	0.108	0.117	0.0834	0.2286	0.2286	0.1098	0.1366	0.0924	0.2286
VDR	0.1036	0.1192	0.139	0.108	0.1116	0.1738	0.0966	0.0936	0.1398
CTNNB1	0.063	0.092	0.0804	0.1954	0.1954	0.0944	0.1522	0.123	0.172
FOSL1	0.5538	0.5502	0.5508	0.5522	0.4834	0.5376	0.5446	0.5394	0.5442
NR1H3	0.1264	0.1258	0.113	0.1007	0.1286	0.1236	0.1018	0.1119	0.123
PIAS1	0.0718	0.0766	0.0772	0.0718	0.0778	0.076	0.0702	0.0714	0.0702
EP300	0.0784	0.0582	0.0756	0.0784	0.0598	0.0992	0.0716	0.0558	0.07400000000000001
UBN1	0.064	0.0536	0.057	0.1092	0.1034	0.0536	0.075	0.057	0.1092
BRD3	0.0918	0.0892	0.0886	0.1122	0.0978	0.0738	0.0932	0.0886	0.1122
STAG1	0.21600000000000005	0.2776	0.2586	0.21600000000000005	0.2476	0.2326	0.2208	0.2586	0.229
EBF1	0.512	0.5314	0.5278	0.5118	0.5192	0.5198	0.5262	0.5032	0.522
GATA6	0.1962	0.13	0.204	0.2004	0.1242	0.1476	0.1732	0.1996	0.1618
TOP1	0.0416	0.1176	0.0362	0.2126	0.2126	0.1176	0.125	0.1176	0.1862
HDAC3	0.2912	0.2944	0.3398	0.2858	0.3398	0.3458	0.3314	0.261	0.29600000000000004
SOX9	0.2802	0.3642	0.242	0.4538	0.4538	0.3508	0.386	0.4506	0.4572
ARNT	0.0092	0.0128	0.0144	0.0116	0.0152	0.0116	0.0116	0.0116	0.0114
