	JASPAR2018_vertebrates	IMAGE	HOMER	ENCODE	RSAT_vertebrates	HOCOMOCOv11_HUMAN	factorbook	SwissRegulon	gimme.vertebrate.v5.0
ETS1	11.7	inf	10.76	11.94	12.7	10.9	11.44	11.96	inf
NR3C1	15.66	inf	17.86	16.74	16.18	16.72	16.78	17.82	inf
SUZ12	12.85	inf	11.86	17.4	18.02	13.28	14.48	16.48	inf
BRCA1	17.3	inf	15.82	21.64	21.64	14.96	18.16	15.82	inf
NRIP1	12.08	inf	11.16	12.3	6.7	12.34	12.42	10.7	inf
GATA3	8.98	inf	10.4	9.44	8.68	8.84	8.73	9.4	inf
DAXX	26.14	inf	25.94	24.63	21.24	26.78	24.12	23.18	inf
TP63	18.7	inf	22.2	18.7	21.06	21.9	13.76	22.24	inf
HNF4A	18.84	inf	19.44	21.56	18.42	21.32	20.5	20.38	inf
ZNF143	6.32	inf	8.1	7.02	8.1	5.62	7.9	8.0	inf
CTBP2	8.49	inf	6.84	12.84	13.23	9.51	8.44	9.51	inf
USP7	6.62	inf	6.62	9.08	9.62	6.88	7.0	6.8	inf
PRDM14	9.74	inf	7.94	15.38	15.38	11.24	12.86	14.34	inf
ESR1	7.88	inf	7.58	8.12	5.92	8.16	8.36	7.34	inf
NFYA	19.2	inf	20.5	20.28	20.04	21.88	19.9	20.5	inf
MITF	37.3	inf	34.94	37.3	35.88	37.02	36.34	35.94	inf
SMAD2	13.92	inf	15.08	9.22	14.06	13.28	9.78	10.36	inf
BCOR	12.45	inf	10.38	18.14	17.04	12.5	14.64	12.74	inf
CTCFL	39.86	inf	44.56	40.62	46.14	45.16	41.5	44.56	inf
RARA	23.44	inf	19.96	38.12	38.62	22.83	24.4	29.0	inf
HMBOX1	9.85	inf	9.0	inf	10.93	9.34	9.39	inf	inf
FLI1	12.24	inf	11.24	18.22	18.22	11.94	15.72	14.88	inf
HDAC2	16.76	inf	13.8	28.82	28.82	19.56	24.2	21.68	inf
SMAD3	17.9	inf	18.5	18.16	19.58	17.64	16.32	18.5	inf
ZBTB16	43.91	inf	43.36	inf	inf	43.82	45.09	44.36	inf
SMAD4	10.84	inf	12.32	15.12	15.56	12.1	13.94	13.62	inf
SOX11	1.9	inf	2.06	1.94	1.96	1.94	1.76	1.94	inf
SIX2	17.12	inf	23.44	4.16	20.5	22.48	2.88	4.16	inf
SETDB1	8.46	inf	7.48	10.0	10.12	7.12	7.72	7.16	inf
CSNK2A1	16.1	inf	12.98	29.12	29.12	19.12	24.94	21.16	inf
HOXA9	15.78	inf	15.88	5.96	7.48	13.57	5.62	15.1	inf
TAF2	19.38	inf	19.0	20.44	inf	inf	18.06	inf	inf
NFE2L2	18.8	inf	18.3	19.94	20.04	21.44	18.58	19.94	inf
LHX2	19.88	inf	19.38	18.1	15.24	17.86	18.26	18.1	inf
KLF3	9.66	inf	10.66	inf	inf	9.77	10.03	inf	inf
GRHL2	12.32	inf	25.18	25.18	25.22	15.58	7.56	25.18	inf
RELA	9.3	inf	8.8	9.3	9.96	9.96	9.66	9.48	inf
HOXB13	8.68	inf	8.98	10.5	7.4	10.08	8.1	8.44	inf
CREBBP	5.76	inf	5.74	7.12	7.31	6.44	6.78	6.24	inf
TLE3	8.64	inf	11.12	10.26	11.2	10.86	10.22	9.24	inf
CTCF	19.2	inf	18.51	19.2	20.1	19.62	16.24	18.02	inf
ESRRA	19.04	inf	20.16	19.24	17.84	18.88	15.74	19.04	inf
MEIS1	10.86	inf	10.96	7.46	5.9	11.06	7.41	10.44	inf
NKX3-1	7.18	inf	7.0	7.18	6.9	9.08	6.92	6.74	inf
YY1	15.44	inf	15.66	17.08	15.9	16.94	18.92	17.44	inf
MBD2	34.0	inf	27.81	47.8	47.8	33.2	37.68	33.04	inf
NCOA1	6.06	inf	4.92	6.02	3.62	5.63	5.46	5.08	inf
DDX5	9.08	inf	6.84	11.2	16.98	7.28	17.9	16.64	inf
PROX1	19.8	inf	19.86	18.82	17.54	19.36	18.5	18.32	inf
ATRX	21.47	inf	20.82	inf	inf	22.53	inf	inf	inf
MYCN	19.82	inf	17.92	19.66	19.9	18.08	18.9	18.94	inf
YAP1	14.12	inf	14.48	14.34	13.16	13.72	13.92	14.26	inf
MED26	14.78	inf	11.62	21.3	22.4	16.06	16.3	19.34	inf
NFATC1	12.16	inf	12.86	22.16	22.94	16.08	16.02	16.08	inf
SMARCA4	4.82	inf	3.62	6.84	6.86	4.71	5.88	6.06	inf
NOTCH1	11.0	inf	11.54	13.46	13.16	11.98	11.06	11.54	inf
OTX2	19.7	inf	20.08	19.5	20.4	20.72	18.34	19.28	inf
BRD2	5.62	inf	4.84	5.46	6.8	6.05	5.6	6.05	inf
CBFA2T2	6.72	inf	5.62	9.46	9.76	7.32	9.14	8.6	inf
GSPT2	10.82	inf	11.14	16.32	18.29	12.2	13.22	11.8	inf
ICE2	17.83	inf	17.65	inf	inf	17.09	inf	inf	inf
SNAPC4	6.53	8.2	5.87	8.33	7.87	6.4	7.47	7.67	8.33
E2F1	32.45	inf	23.88	36.94	36.31	26.8	26.98	25.9	inf
ZNF750	12.88	inf	14.28	15.78	13.98	13.84	13.86	14.26	inf
RBP2	30.26	inf	28.09	37.83	44.7	28.17	28.43	30.26	inf
ELK1	39.0	inf	31.8	inf	inf	inf	41.2	inf	inf
CBFB	23.56	inf	20.8	38.66	38.66	23.14	29.36	28.6	inf
LYL1	16.14	inf	16.76	16.14	14.14	17.42	16.46	16.74	inf
MAFB	19.3	inf	15.73	19.6	20.24	20.12	18.28	19.3	inf
DUX4	59.84	inf	9.84	58.08	60.22	58.52	5.25	58.08	inf
KLF9	29.14	inf	31.88	30.98	30.34	37.52	23.56	29.14	inf
HDAC1	21.45	inf	15.14	47.08	inf	27.33	30.45	inf	inf
POU2F2	8.2	inf	6.54	7.18	8.46	7.78	6.9	6.52	inf
FOXK1	17.53	inf	17.57	inf	inf	15.93	16.2	inf	inf
HIF1A	8.18	inf	8.12	8.18	8.6	9.1	8.5	7.96	inf
LEF1	22.42	inf	25.33	inf	inf	23.33	23.25	inf	inf
IRF1	8.5	inf	8.58	8.02	7.24	7.96	8.02	7.78	inf
SNAPC1	13.43	inf	12.16	inf	inf	13.65	inf	15.51	inf
EZH2	4.32	inf	3.96	5.04	5.14	4.44	4.76	5.06	inf
SMC1A	28.94	inf	29.32	28.94	30.06	31.02	28.86	29.32	inf
NCOR	7.26	inf	6.54	9.71	9.46	7.32	8.04	8.38	inf
MYOD1	39.56	inf	38.34	32.18	40.19	40.5	33.55	34.36	inf
NFE2	20.5	inf	20.76	20.5	22.48	22.64	20.14	20.58	inf
PCGF2	5.66	inf	4.78	6.24	6.68	4.96	5.04	5.08	inf
EOMES	10.1	inf	9.56	10.1	10.06	9.18	9.58	10.1	inf
RCOR1	6.0	inf	5.82	5.72	7.35	7.64	20.12	5.32	inf
KDM5A	19.0	inf	14.26	36.86	37.96	25.96	27.7	25.96	inf
NR2C2	30.27	inf	28.0	inf	inf	31.64	inf	27.95	inf
NCOA2	12.26	inf	10.02	11.36	6.52	12.26	11.06	10.42	inf
SPI1	19.02	inf	29.58	22.04	19.56	26.54	22.64	21.24	inf
ZMYND11	7.86	inf	8.16	13.46	13.46	9.0	11.04	9.7	inf
SP1	36.24	inf	42.74	41.7	40.14	41.88	39.64	40.32	inf
BRD4	5.56	inf	5.34	5.56	5.78	5.64	5.44	5.34	inf
PALB2	7.62	inf	6.62	inf	inf	9.58	10.33	inf	inf
RNF2	13.86	inf	14.39	15.54	16.18	14.16	13.48	13.34	inf
PGR	10.32	inf	10.88	10.92	10.58	10.02	12.0	10.76	inf
NKX2-1	13.98	inf	13.94	13.92	13.16	14.0	14.32	13.37	inf
TBP	10.6	inf	10.94	16.88	17.35	12.61	14.7	15.68	inf
NR2F1	10.68	inf	11.98	15.44	15.5	12.12	14.68	14.22	inf
PAX8	9.9	inf	3.32	7.82	10.19	5.5	8.33	6.3	inf
KLF6	7.53	inf	7.72	7.84	8.34	8.3	6.64	7.58	inf
NEUROD1	inf	inf	29.92	inf	inf	28.46	13.35	inf	inf
ETV1	30.6	inf	31.92	30.6	22.16	24.76	28.88	26.5	inf
NCOR2	5.28	inf	4.46	6.58	6.88	5.2	5.4	5.2	inf
NANOG	9.56	inf	7.84	15.38	14.98	9.78	12.1	13.12	inf
EZH1	10.74	inf	11.42	14.88	14.8	11.62	12.84	11.44	inf
TP73	42.74	inf	47.42	42.74	45.78	47.32	5.56	46.84	inf
TCF3	8.9	inf	8.48	8.38	7.82	8.64	8.18	8.88	inf
EGLN2	14.62	inf	14.88	14.62	15.98	14.96	13.92	14.66	inf
NELFA	20.2	inf	17.42	40.02	39.46	26.6	31.66	29.54	inf
JUND	27.86	inf	27.58	27.76	24.23	27.86	27.3	26.96	inf
BRF2	6.92	6.59	5.84	7.64	7.46	7.04	7.18	6.89	7.18
MED1	6.3	inf	6.66	7.54	7.46	7.16	7.38	6.76	inf
POU4F2	6.12	inf	6.2	6.88	6.8	5.76	6.3	6.2	inf
CXXC4	34.58	inf	30.7	48.45	48.86	35.3	37.8	35.78	inf
RUNX1	8.92	inf	8.18	8.92	7.54	7.32	7.14	7.45	inf
ZC3H8	12.14	inf	11.64	12.14	11.24	12.12	10.94	11.48	inf
KMT2A	12.38	inf	11.16	24.38	23.59	15.92	17.08	15.92	inf
MAF	7.5	inf	7.42	11.38	11.06	8.44	7.98	8.46	inf
SMAD1	52.88	inf	52.2	52.88	55.06	53.48	49.68	51.76	inf
CREB1	12.22	inf	12.46	12.9	13.22	13.34	12.62	12.9	inf
GATA2	12.32	inf	12.64	9.58	9.36	11.76	12.4	10.47	inf
TRIM24	26.88	inf	21.86	42.24	42.24	30.22	31.86	37.04	inf
PDX1	8.29	inf	10.58	8.18	7.2	8.54	8.69	8.56	inf
TERF2	5.35	inf	5.21	5.36	5.44	5.68	5.3	5.48	inf
GTF2B	4.56	inf	4.66	5.6	5.46	5.08	5.02	4.76	inf
TCF12	12.56	inf	10.51	19.18	17.84	12.06	15.3	13.84	inf
CDK9	10.54	inf	9.68	17.46	17.62	12.14	14.92	16.27	inf
PPARG	11.08	inf	10.26	9.96	9.14	11.68	9.68	10.06	inf
ELF3	23.62	inf	21.75	23.86	15.29	23.0	15.17	23.86	inf
RUNX1T1	13.76	inf	14.36	23.46	23.22	14.7	16.42	17.1	inf
TRIM28	6.8	inf	7.36	7.74	7.72	7.64	6.76	7.36	inf
E2F7	14.4	inf	14.76	14.6	12.24	14.18	14.17	14.48	inf
IRF2	22.26	inf	24.44	22.26	inf	21.8	inf	22.82	inf
ERG	8.96	inf	9.26	8.9	8.32	8.06	8.12	8.76	inf
ZNF92	3.3	inf	5.54	11.08	11.34	11.38	25.92	4.2	inf
MEF2B	7.9	inf	15.3	11.84	9.3	9.15	9.31	14.34	inf
ARID1A	17.56	inf	15.28	29.04	29.04	20.3	26.76	24.42	inf
ZEB1	11.1	inf	9.74	14.26	15.1	10.78	11.62	10.82	inf
EED	5.9	inf	5.8	7.86	8.16	6.06	6.04	6.9	inf
AR	7.5	inf	6.84	8.04	8.08	6.74	6.94	7.1	inf
GATAD1	12.56	inf	10.76	17.32	18.19	14.22	12.72	14.22	inf
PRKDC	24.16	inf	23.16	24.16	23.94	25.5	23.82	24.3	inf
RUNX2	3.42	inf	3.64	4.86	4.86	3.94	4.14	4.86	inf
KMT2B	19.71	inf	19.39	23.77	inf	19.61	19.87	19.71	inf
CLOCK	9.76	inf	8.85	11.02	12.98	10.54	12.82	11.56	inf
ATF3	34.28	inf	34.22	32.8	31.24	33.48	33.02	33.52	inf
GFI1B	14.44	inf	12.76	14.44	inf	17.43	9.64	12.76	inf
remap2018	9.66	inf	9.58			8.96	9.86	9.58	
IKZF1	21.88	inf	20.47	34.94	inf	24.41	30.0	26.53	inf
GATA1	17.14	inf	20.8	18.12	14.08	17.29	16.42	20.8	inf
TWIST1	13.34	inf	13.9	12.24	12.48	14.94	8.02	13.92	inf
STAT1	11.78	inf	11.68	12.22	12.76	12.26	11.54	11.64	inf
SND1	10.2	inf	9.58	10.36	10.14	10.48	9.68	10.08	inf
CHD8	5.62	inf	5.16	6.22	6.22	5.02	5.04	5.16	inf
ASH2L	6.1	inf	8.16	7.38	7.6	5.94	5.34	7.38	inf
ASXL1	20.78	inf	18.56	36.22	38.47	23.94	23.96	23.3	inf
NME2	14.2	inf	22.44	15.35	27.82	4.83	29.22	27.47	inf
TFAP2A	24.02	inf	24.88	26.1	25.3	23.16	24.68	23.54	inf
TAF3	22.82	inf	18.34	35.78	38.82	25.22	28.38	25.26	inf
TP53	11.12	inf	11.52	11.12	11.24	11.1	5.98	9.86	inf
KLF5	17.18	inf	23.92	22.28	21.92	22.2	18.86	18.68	inf
STAT3	18.66	inf	14.68	35.14	35.08	22.24	24.48	29.04	inf
TEAD1	19.7	inf	22.0	20.1	20.39	19.64	17.08	20.12	inf
FOXA1	12.41	inf	12.68	12.41	10.58	11.52	11.64	11.56	inf
NKX2-2	8.54	inf	9.1	8.72	8.8	8.58	8.28	8.94	inf
ASCL1	25.06	inf	28.16	24.36	26.18	24.74	27.74	28.14	inf
SMARCB1	10.94	inf	9.82	16.46	17.8	13.82	13.24	13.82	inf
FOXA2	22.24	inf	25.58	22.24	18.58	21.92	21.16	18.38	inf
PAX5	32.62	inf	35.02	40.25	39.04	10.24	35.72	32.62	inf
POU2F1	4.19	inf	4.92	inf	inf	4.59	5.65	inf	inf
TBL1X	14.22	inf	15.48	19.64	19.43	13.42	17.3	16.55	inf
HCFC1	inf	inf	43.26	inf	inf	45.26	43.63	inf	inf
REST	17.74	inf	14.3	24.98	24.98	18.34	17.54	18.34	inf
BATF	24.59	inf	23.54	26.08	27.72	24.5	25.26	27.16	inf
GATA4	15.66	inf	18.22	17.96	14.74	15.8	15.16	18.22	inf
RXR	14.86	inf	13.1	20.2	20.02	15.6	16.38	17.36	inf
TFAP4	15.75	inf	16.78	15.75	15.08	17.58	11.3	15.15	inf
SP2	30.22	inf	36.84	37.74	37.74	33.1	32.24	31.41	inf
SMC3	12.72	inf	12.68	12.72	12.48	13.38	12.48	12.98	inf
TBX21	17.92	inf	16.68	20.76	21.18	16.56	17.44	16.9	inf
CEBPA	29.27	inf	26.33	29.27	28.76	28.2	28.12	29.27	inf
CDK7	11.33	inf	12.68	15.86	15.86	13.36	12.98	14.28	inf
CIITA	22.75	inf	38.0	inf	41.31	44.88	40.12	inf	45.25
HSF1	10.32	inf	8.0	15.06	15.06	9.54	13.1	11.98	inf
NR2F2	9.96	inf	9.08	9.96	7.88	8.82	9.0	8.92	inf
NFKBIA	10.94	inf	7.0	inf	inf	9.22	12.44	inf	inf
KDM5B	16.4	inf	16.52	16.68	17.66	17.94	15.54	16.48	inf
TCF7L2	12.26	inf	12.4	12.2	10.56	12.3	12.08	11.78	inf
TEAD4	9.78	inf	12.98	10.8	13.2	12.34	9.43	11.18	inf
GLYR1	3.22	inf	3.36	3.44	4.1	3.14	3.4	3.44	inf
FOXP1	7.02	inf	6.82	7.56	7.38	7.56	7.0	7.38	inf
NFKB2	27.44	inf	31.73	35.9	37.64	39.82	34.62	35.57	inf
MAX	9.51	inf	9.72	8.94	9.04	9.26	9.0	8.78	inf
SFMBT1	19.32	inf	15.94	30.36	30.44	20.92	25.5	20.92	inf
STAT5A	9.34	inf	10.98	9.74	8.4	11.86	12.02	8.46	inf
MBD3	5.04	inf	5.6	6.82	7.62	6.64	5.88	6.65	inf
OCA2	5.82	inf	5.56	6.48	6.52	6.56	6.78	5.86	inf
SNAI2	31.92	inf	15.96	31.92	29.28	26.06	15.34	31.92	inf
ARID2	13.92	inf	11.5	19.76	20.0	13.64	14.68	13.64	inf
PHF8	16.08	inf	12.12	26.38	29.72	18.84	20.26	18.84	inf
BAHD1	3.85	inf	3.2	5.28	6.98	2.84	8.68	5.44	inf
RBPJ	6.96	inf	6.22	6.96	6.44	6.32	7.26	7.08	inf
NFYB	37.12	inf	35.98	42.54	38.62	40.24	43.28	43.68	inf
FOS	19.98	inf	20.5	20.0	18.2	20.62	19.98	18.68	inf
RYBP	inf	inf	12.88	inf	inf	inf	18.44	inf	inf
FOXO1	8.12	inf	7.62	6.86	6.74	7.26	7.14	6.5	inf
LMO2	8.24	inf	7.82	8.44	8.44	7.68	7.63	7.94	inf
RUNX	16.92	inf	22.33	inf	inf	25.17	19.0	inf	inf
BHLHE22	24.92	inf	21.86	27.24	19.46	24.76	22.88	22.88	inf
SATB1	2.67	inf	3.8	inf	inf	3.4	5.27	inf	inf
NFKB1	26.72	inf	30.86	34.57	34.2	38.56	32.44	35.44	inf
BCL6	9.66	inf	8.6	13.84	13.84	9.8	10.7	9.22	inf
VDR	9.24	inf	12.24	9.92	10.22	13.12	9.04	9.14	inf
CTNNB1	7.48	inf	8.18	12.86	12.86	9.38	11.52	9.34	inf
FOSL1	36.82	inf	37.12	36.34	33.28	37.9	35.84	33.92	inf
NR1H3	11.56	inf	10.61	inf	inf	11.67	9.11	10.56	inf
PIAS1	8.32	inf	7.94	7.56	7.96	8.06	7.7	7.56	inf
EP300	8.3	inf	7.88	8.3	7.06	9.56	7.74	6.78	inf
UBN1	7.3	inf	7.56	9.39	9.88	7.88	8.0	7.88	inf
BRD3	9.12	inf	8.94	10.41	9.66	8.06	9.32	8.94	inf
STAG1	15.94	inf	16.6	15.94	17.58	16.34	14.16	16.6	inf
EBF1	34.98	inf	37.1	34.98	37.12	35.44	34.44	34.98	inf
GATA6	11.23	inf	13.28	11.75	9.92	11.85	12.88	13.28	inf
TOP1	7.52	inf	5.77	13.12	13.9	9.8	10.44	9.8	inf
HDAC3	14.64	inf	15.74	14.64	15.74	16.4	17.2	14.32	inf
SOX9	14.6	inf	13.88	23.38	25.64	16.7	17.72	17.2	inf
ARNT	3.76	inf	3.5	3.64	3.76	4.06	2.8	3.9	inf
TAL1	7.22	inf	7.16	7.5	8.04	7.74	7.9	6.78	inf
ELL2	14.86	inf	14.43	16.02	15.48	16.12	15.08	14.94	inf
FOSL2	45.72	inf	45.72	42.56	38.5	44.1	41.54	41.8	inf
L3MBTL2	15.19	inf	16.0	15.19	inf	9.6	10.6	15.19	inf
HEXIM1	21.02	inf	18.14	37.86	37.86	23.92	27.8	26.67	inf
XBP1	3.9	inf	4.18	3.96	3.92	4.66	4.8	4.18	inf
JUN	31.02	inf	30.56	30.72	27.84	31.56	31.58	30.12	inf
KDM1A	4.48	inf	4.14	6.06	5.16	4.92	9.3	4.78	inf
TFAP2C	21.7	inf	24.58	25.94	26.22	21.42	22.5	23.14	inf
FANCL	35.52	inf	31.48	66.12	66.12	42.86	52.16	51.74	inf
KDM4C	13.92	inf	12.64	21.84	23.38	15.9	18.28	19.78	inf
RELB	21.02	inf	20.72	24.26	23.92	27.2	26.1	24.06	inf
BACH2	31.72	inf	31.64	31.26	18.5	28.84	27.47	26.04	inf
JARID2	14.5	inf	12.16	21.6	21.6	16.74	17.58	21.38	inf
EPAS1	inf	inf	29.58	inf	inf	29.38	10.71	inf	inf
CBX2	6.06	inf	4.82	8.04	8.44	6.64	8.36	7.56	inf
MYB	11.9	inf	10.78	11.68	11.33	11.64	12.94	11.16	inf
BMPR1A	19.02	inf	18.54	19.02	18.04	18.22	20.24	19.02	inf
